audio, image, foil, correct, sample, time, trigger, group, i_trial, block, response_time, subject
part, tart, I, 1, 73174, 60.482, 1, 201, 8, B2, 1.693, WPM_01
bud, leaf, S, 1, 77262, 63.861, 3, 202, 9, B2, 1.449, WPM_01
pick, puck, V, 1, 80971, 66.927, 2, 201, 10, B2, 1.682, WPM_01
kite, balloon, S, 1, 84984, 70.244, 3, 202, 11, B2, 1.578, WPM_01
bug, bug, M, 1, 88871, 73.457, 4, 203, 12, B2, 1.296, WPM_01
tack, tack, M, 1, 92410, 76.382, 4, 203, 13, B2, 1.268, WPM_01
bead, ring, S, 1, 95927, 79.289, 3, 202, 14, B2, 1.472, WPM_01
cup, cup, M, 1, 99639, 82.357, 4, 203, 15, B2, 1.249, WPM_01
pop, pot, F, 1, 103122, 85.236, 1, 201, 16, B2, 1.473, WPM_01
tape, paperclip, S, 1, 106861, 88.326, 3, 202, 17, B2, 1.441, WPM_01
gun, gum, F, 1, 110686, 91.488, 1, 201, 18, B2, 1.674, WPM_01
king, queen, S, 1, 114725, 94.826, 3, 202, 19, B2, 1.394, WPM_01
peak, peak, M, 1, 118381, 97.848, 4, 203, 20, B2, 1.857, WPM_01
cake, cake, M, 0, 122598, 101.334, 4, 303, 21, B2, 1.579, WPM_01
pot, pot, M, 0, 126517, 104.573, 4, 303, 22, B2, 1.534, WPM_01
barn, barn, M, 1, 130318, 107.715, 4, 203, 23, B2, 1.321, WPM_01
dine, dime, F, 0, 133889, 110.666, 1, 301, 24, B2, 2.349, WPM_01
peg, peg, M, 1, 138710, 114.651, 4, 203, 25, B2, 1.672, WPM_01
peck, peck, M, 1, 142716, 117.962, 4, 203, 26, B2, 1.466, WPM_01
pen, pen, M, 1, 146470, 121.065, 4, 203, 27, B2, 1.477, WPM_01
cob, cub, V, 1, 150345, 124.268, 2, 201, 28, B2, 1.803, WPM_01
boot, sneaker, S, 1, 154484, 127.689, 3, 202, 29, B2, 1.683, WPM_01
gate, gate, M, 1, 158503, 131.011, 4, 203, 30, B2, 1.341, WPM_01
cape, cop, V, 1, 162278, 134.131, 2, 201, 31, B2, 1.603, WPM_01
bean, bean, M, 1, 166298, 137.454, 4, 203, 32, B2, 1.785, WPM_01
beam, bean, F, 1, 170365, 140.816, 1, 201, 33, B2, 1.782, WPM_01
cane, crutch, S, 1, 174503, 144.236, 3, 202, 34, B2, 1.623, WPM_01
bark, meow, S, 1, 178464, 147.51, 3, 202, 35, B2, 1.591, WPM_01
pod, pot, F, 1, 182459, 150.812, 1, 201, 36, B2, 1.654, WPM_01
boot, boot, M, 1, 186416, 154.083, 4, 203, 37, B2, 1.377, WPM_01
cap, cap, M, 1, 189984, 157.032, 4, 203, 38, B2, 1.402, WPM_01
gown, gown, M, 1, 193865, 160.24, 4, 203, 39, B2, 1.231, WPM_01
tap, cap, I, 1, 197330, 163.104, 1, 201, 40, B2, 1.582, WPM_01
bake, bite, V, 1, 201212, 166.312, 2, 201, 41, B2, 1.471, WPM_01
boat, boat, M, 0, 204951, 169.403, 4, 303, 42, B2, 1.897, WPM_01
bone, bone, M, 1, 209215, 172.927, 4, 203, 43, B2, 1.223, WPM_01
bet, pet, I, 1, 212660, 175.775, 1, 201, 44, B2, 1.71, WPM_01
tongue, tongue, M, 1, 216697, 179.111, 4, 203, 45, B2, 1.254, WPM_01
beard, beard, M, 1, 220176, 181.987, 4, 203, 46, B2, 1.328, WPM_01
dip, dip, M, 1, 223779, 184.965, 4, 203, 47, B2, 1.273, WPM_01
can, cane, V, 1, 227477, 188.022, 2, 201, 48, B2, 1.678, WPM_01
date, watch, S, 1, 231457, 191.311, 3, 202, 49, B2, 1.702, WPM_01
pup, pup, M, 1, 235476, 194.633, 4, 203, 50, B2, 1.284, WPM_01
bid, bid, M, 1, 239093, 197.623, 4, 203, 51, B2, 1.874, WPM_01
bit, pit, I, 1, 243317, 201.114, 1, 201, 52, B2, 1.971, WPM_01
buck, duck, I, 1, 247728, 204.76, 1, 201, 53, B2, 1.603, WPM_01
bike, skateboard, S, 1, 251630, 207.985, 3, 202, 54, B2, 1.651, WPM_01
park, park, M, 1, 255597, 211.264, 4, 203, 55, B2, 1.498, WPM_01
pad, pencil, S, 1, 259371, 214.384, 3, 202, 56, B2, 1.613, WPM_01
gang, motorcycle, S, 1, 263225, 217.569, 3, 202, 57, B2, 1.771, WPM_01
dot, dot, M, 1, 267336, 220.967, 4, 203, 58, B2, 1.428, WPM_01
dime, dime, M, 1, 271010, 224.004, 4, 203, 59, B2, 1.592, WPM_01
pet, pet, M, 1, 274882, 227.204, 4, 203, 60, B2, 1.408, WPM_01
bait, boot, V, 1, 278671, 230.336, 2, 201, 61, B2, 1.766, WPM_01
guard, guard, M, 1, 282792, 233.742, 4, 203, 62, B2, 1.447, WPM_01
pin, pin, M, 1, 286566, 236.862, 4, 203, 63, B2, 1.473, WPM_01
bird, bird, M, 1, 290449, 240.071, 4, 203, 64, B2, 1.257, WPM_01
bite, beet, V, 1, 293950, 242.965, 2, 201, 65, B2, 1.594, WPM_01
beak, beak, M, 1, 297839, 246.179, 4, 203, 66, B2, 1.414, WPM_01
cart, cart, M, 1, 301503, 249.208, 4, 203, 67, B2, 1.441, WPM_01
dig, rake, S, 1, 305242, 252.298, 3, 202, 68, B2, 1.606, WPM_01
pat, pan, F, 1, 309174, 255.548, 1, 201, 69, B2, 1.813, WPM_01
bag, bag, M, 1, 313319, 258.974, 4, 203, 70, B2, 1.307, WPM_01
coop, cup, V, 1, 317016, 262.03, 2, 201, 71, B2, 1.58, WPM_01
gong, bell, S, 1, 320889, 265.231, 3, 202, 72, B2, 2.533, WPM_01
back, pack, I, 1, 325940, 269.406, 1, 201, 73, B2, 1.899, WPM_01
bib, bib, M, 1, 330127, 272.867, 4, 203, 74, B2, 1.704, WPM_01
book, newspaper, S, 1, 334176, 276.214, 3, 202, 75, B2, 1.596, WPM_01
palm, palm, M, 1, 338071, 279.433, 4, 203, 76, B2, 1.321, WPM_01
keg, keg, M, 1, 341573, 282.328, 4, 203, 77, B2, 1.297, WPM_01
card, card, M, 1, 345084, 285.23, 4, 203, 78, B2, 1.437, WPM_01
bat, bird, S, 1, 348795, 288.297, 3, 202, 79, B2, 1.455, WPM_01
team, teen, F, 1, 352641, 291.476, 1, 201, 80, B2, 1.613, WPM_01
babe, bib, V, 1, 356554, 294.71, 2, 201, 81, B2, 1.723, WPM_01
bed, bed, M, 1, 360680, 298.121, 4, 203, 82, B2, 1.389, WPM_01
big, pig, I, 1, 364472, 301.255, 1, 201, 83, B2, 1.591, WPM_01
time, time, M, 1, 368363, 304.471, 4, 203, 84, B2, 1.341, WPM_01
pan, pan, M, 0, 371982, 307.462, 4, 303, 85, B2, 2.353, WPM_01
cod, cot, F, 1, 376796, 311.441, 1, 201, 86, B2, 1.881, WPM_01
cone, pyramid, S, 1, 380973, 314.894, 3, 202, 87, B2, 2.5, WPM_01
dart, dart, M, 1, 385946, 319.004, 4, 203, 88, B2, 1.344, WPM_01
cat, cat, M, 1, 389832, 322.216, 4, 203, 89, B2, 1.302, WPM_01
beet, bat, V, 1, 393447, 325.204, 2, 201, 90, B2, 1.716, WPM_01
bad, bag, F, 1, 397482, 328.539, 1, 201, 91, B2, 1.557, WPM_01
type, handwrite, S, 1, 401313, 331.706, 3, 202, 92, B2, 1.584, WPM_01
gum, gum, M, 1, 405200, 334.919, 4, 203, 93, B2, 1.513, WPM_01
beg, peg, I, 1, 409034, 338.088, 1, 201, 94, B2, 1.861, WPM_01
pit, pit, M, 1, 413374, 341.675, 4, 203, 95, B2, 1.498, WPM_01
cop, cog, F, 1, 417410, 345.011, 1, 201, 96, B2, 2, WPM_01
den, den, M, 1, 421906, 348.727, 4, 203, 97, B2, 1.438, WPM_01
pig, cow, S, 1, 425705, 351.867, 3, 202, 98, B2, 1.601, WPM_01
calm, palm, I, 1, 429614, 355.098, 1, 201, 99, B2, 1.515, WPM_01
tag, tag, M, 1, 433401, 358.228, 4, 203, 100, B2, 1.522, WPM_01
gang, motorcycle, S, 1, 41060, 33.939, 3, 202, 1, B1, 1.947, WPM_02
cake, cake, M, 1, 47034, 38.877, 4, 203, 2, B1, 1.424, WPM_02
guard, guard, M, 1, 50700, 41.907, 4, 203, 3, B1, 1.562, WPM_02
pat, pan, F, 1, 54557, 45.095, 1, 201, 4, B1, 1.935, WPM_02
dig, rake, S, 1, 58872, 48.662, 3, 202, 5, B1, 2.042, WPM_02
team, teen, F, 1, 63288, 52.312, 1, 201, 6, B1, 1.672, WPM_02
comb, comb, M, 1, 67282, 55.613, 4, 203, 7, B1, 1.366, WPM_02
bead, ring, S, 1, 70901, 58.604, 3, 202, 8, B1, 1.674, WPM_02
date, watch, S, 1, 74817, 61.841, 3, 202, 9, B1, 1.726, WPM_02
beak, beak, M, 1, 78813, 65.144, 4, 203, 10, B1, 1.573, WPM_02
